"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2026-02-06","Salto del Agua","Ambos","5384","935.42","6319.42"
"2026-02-08","Salto del Agua","Ambos","2860","791.51","3651.51"
"2026-02-09","Salto del Agua","Ambos","6200","868.26","7068.26"
"2026-02-10","Salto del Agua","Ambos","7070","1122.5","8192.5"
"2026-02-11","Salto del Agua","Ambos","6950","652.39","7602.39"
"2026-02-12","Salto del Agua","Ambos","5510","666.78","6176.78"
"2026-02-13","Salto del Agua","Ambos","9990","1890.02","11880.02"
"2026-02-14","Salto del Agua","Ambos","5004","901.84","5905.84"
"2026-02-15","Salto del Agua","Ambos","1340","249.44","1589.44"
"2026-02-16","Salto del Agua","Ambos","6025","1304.78","7329.78"
"2026-02-17","Salto del Agua","Ambos","8390","1506.26","9896.26"
"2026-02-18","Salto del Agua","Ambos","7290","1487.07","8777.07"
"2026-02-19","Salto del Agua","Ambos","6555","661.99","7216.99"
"2026-02-20","Salto del Agua","Ambos","6955","1520.65","8475.65"
"2026-02-21","Salto del Agua","Ambos","3955","709.96","4664.96"
"2026-02-22","Salto del Agua","Ambos","3155","1333.57","4488.57"
"2026-02-23","Salto del Agua","Ambos","5470","542.06","6012.06"
"2026-02-24","Salto del Agua","Ambos","5720","1594.52","7314.52"
"2026-02-25","Salto del Agua","Ambos","7595","2115.48","9710.48"
"2026-02-26","Salto del Agua","Ambos","7225","1765.3","8990.3"
"2026-02-27","Salto del Agua","Ambos","7340","997.78","8337.78"
"2026-02-28","Salto del Agua","Ambos","4380","1285.6","5665.6"
"2026-03-01","Salto del Agua","Ambos","3305","220.66","3525.66"
"2026-03-02","Salto del Agua","Ambos","6910","1208.84","8118.84"
"2026-03-03","Salto del Agua","Ambos","8455","1597.4","10052.4"
"2026-03-04","Salto del Agua","Ambos","10205","1827.66","12032.66"
"2026-03-05","Salto del Agua","Ambos","6585","849.07","7434.07"
"2026-03-06","Salto del Agua","Ambos","5265","2436.88","7701.88"
"2026-03-07","Salto del Agua","Ambos","4800","426.93","5226.93"
"2026-03-08","Salto del Agua","Ambos","3490","412.54","3902.54"
"2026-03-09","Salto del Agua","Ambos","3630","311.81","3941.81"
"2026-03-10","Salto del Agua","Ambos","8540","2158.65","10698.65"
"2026-03-11","Salto del Agua","Ambos","8180","1343.16","9523.16"
"2026-03-12","Salto del Agua","Ambos","6035","978.59","7013.59"
"2026-03-13","Salto del Agua","Ambos","7500","2288.17","9788.17"
"2026-03-14","Salto del Agua","Ambos","4780","201.47","4981.47"
"2026-03-15","Salto del Agua","Ambos","3950","307.01","4257.01"
"2026-03-16","Salto del Agua","Ambos","4070","556.45","4626.45"
"2026-03-17","Salto del Agua","Ambos","7735","1463.09","9198.08"
"2026-03-18","Salto del Agua","Ambos","8528","2182.64","10710.64"
"2026-03-19","Salto del Agua","Ambos","6420","700.36","7120.36"
"2026-03-20","Salto del Agua","Ambos","7105","1626.18","8731.18"
"2026-03-21","Salto del Agua","Ambos","5150","307.01","5457.01"
"2026-03-22","Salto del Agua","Ambos","3350","287.82","3637.82"
"2026-03-23","Salto del Agua","Ambos","6570","604.42","7174.42"
"2026-03-24","Salto del Agua","Ambos","9600","1108.11","10708.11"
"2026-03-25","Salto del Agua","Ambos","7290","1069.73","8359.73"
"2026-03-26","Salto del Agua","Ambos","5785","964.2","6749.2"
"2026-03-27","Salto del Agua","Ambos","7480","1376.74","8856.74"
"2026-03-28","Salto del Agua","Ambos","4500","532.47","5032.47"
"2026-03-29","Salto del Agua","Ambos","3870","498.89","4368.89"
"2026-03-30","Salto del Agua","Ambos","5700","1659.76","7359.76"
"2026-03-31","Salto del Agua","Ambos","8465","2532.82","10997.82"
"2026-04-01","Salto del Agua","Ambos","9300","1952.38","11252.38"
"2026-04-02","Salto del Agua","Ambos","5370","1309.58","6679.58"
"2026-04-03","Salto del Agua","Ambos","3320","877.85","4197.85"
"2026-04-04","Salto del Agua","Ambos","4680","230.26","4910.26"
"2026-04-05","Salto del Agua","Ambos","3185","580.44","3765.44"
"2026-04-06","Salto del Agua","Ambos","6225","2312.15","8537.15"
"2026-04-07","Salto del Agua","Ambos","7400","849.07","8249.07"
"2026-04-08","Salto del Agua","Ambos","5890","1760.5","7650.5"
"2026-04-09","Salto del Agua","Ambos","5865","695.57","6560.57"
"2026-04-10","Salto del Agua","Ambos","6215","1276","7491"
"2026-04-11","Salto del Agua","Ambos","6050","115.13","6165.13"
"2026-04-12","Salto del Agua","Ambos","4400","474.9","4874.9"
"2026-04-13","Salto del Agua","Ambos","4890","1232.83","6122.83"
"2026-04-14","Salto del Agua","Ambos","7170","1016.96","8186.96"
"2026-04-15","Salto del Agua","Ambos","9470","2125.07","11595.07"
"2026-04-16","Salto del Agua","Ambos","7950","1794.08","9744.08"
"2026-04-17","Salto del Agua","Ambos","6660","2657.54","9317.54"
"2026-04-18","Salto del Agua","Ambos","5400","873.05","6273.05"
"2026-04-19","Salto del Agua","Ambos","3530","604.42","4134.42"
"2026-04-20","Salto del Agua","Ambos","4050","1040.95","5090.95"
"2026-04-21","Salto del Agua","Ambos","9750","1918.8","11668.8"
"2026-04-22","Salto del Agua","Ambos","6120","1170.47","7290.47"
"2026-04-23","Salto del Agua","Ambos","6295","1242.42","7537.42"
"2026-04-24","Salto del Agua","Ambos","7000","1352.75","8352.75"
"2026-04-25","Salto del Agua","Ambos","4370","446.12","4816.12"
"2026-04-26","Salto del Agua","Ambos","3655","321.4","3976.4"
"2026-04-27","Salto del Agua","Ambos","5970","407.75","6377.74"
"2026-04-28","Salto del Agua","Ambos","8885","2182.64","11067.63"
"2026-04-29","Salto del Agua","Ambos","6800","1602.2","8402.2"
"2026-04-30","Salto del Agua","Ambos","8810","877.85","9687.85"
"2026-05-01","Salto del Agua","Ambos","2040","398.15","2438.15"
"2026-05-04","Salto del Agua","Ambos","6600","489.29","7089.29"
"2026-05-05","Salto del Agua","Ambos","8250","2408.09","10658.09"
"2026-05-06","Salto del Agua","Ambos","9070","1439.1","10509.1"
"2026-05-07","Salto del Agua","Ambos","7060","1141.69","8201.69"
"2026-05-08","Salto del Agua","Ambos","8250","2043.52","10293.52"
"2026-05-09","Salto del Agua","Ambos","5660","153.5","5813.5"
"2026-05-10","Salto del Agua","Ambos","4235","148.71","4383.71"
"2026-05-11","Salto del Agua","Ambos","5580","345.38","5925.38"
